	owl:Thing	<hasSynsetId>	"100001740"	
	<wordnet_physical_entity_100001930>	<hasSynsetId>	"100001930"	
	<wordnet_abstraction_100002137>	<hasSynsetId>	"100002137"	
	<wordnet_thing_100002452>	<hasSynsetId>	"100002452"	
	<wordnet_object_100002684>	<hasSynsetId>	"100002684"	
	<wordnet_whole_100003553>	<hasSynsetId>	"100003553"	
	<wordnet_congener_100003993>	<hasSynsetId>	"100003993"	
	<wordnet_living_thing_100004258>	<hasSynsetId>	"100004258"	
	<wordnet_organism_100004475>	<hasSynsetId>	"100004475"	
	<wordnet_benthos_100005787>	<hasSynsetId>	"100005787"	
	<wordnet_dwarf_100005930>	<hasSynsetId>	"100005930"	
	<wordnet_heterotroph_100006024>	<hasSynsetId>	"100006024"	
	<wordnet_parent_100006150>	<hasSynsetId>	"100006150"	
	<wordnet_life_100006269>	<hasSynsetId>	"100006269"	
	<wordnet_biont_100006400>	<hasSynsetId>	"100006400"	
	<wordnet_cell_100006484>	<hasSynsetId>	"100006484"	
	<wordnet_causal_agent_100007347>	<hasSynsetId>	"100007347"	
	<wordnet_person_100007846>	<hasSynsetId>	"100007846"	
	<wordnet_animal_100015388>	<hasSynsetId>	"100015388"	
	<wordnet_plant_100017222>	<hasSynsetId>	"100017222"	
	<wordnet_native_100019046>	<hasSynsetId>	"100019046"	
	<wordnet_natural_object_100019128>	<hasSynsetId>	"100019128"	
	<wordnet_substance_100019613>	<hasSynsetId>	"100019613"	
	<wordnet_substance_100020090>	<hasSynsetId>	"100020090"	
	<wordnet_matter_100020827>	<hasSynsetId>	"100020827"	
	<wordnet_food_100021265>	<hasSynsetId>	"100021265"	
	<wordnet_nutrient_100021734>	<hasSynsetId>	"100021734"	
	<wordnet_artifact_100021939>	<hasSynsetId>	"100021939"	
	<wordnet_article_100022903>	<hasSynsetId>	"100022903"	
	<wordnet_psychological_feature_100023100>	<hasSynsetId>	"100023100"	
	<wordnet_cognition_100023271>	<hasSynsetId>	"100023271"	
	<wordnet_motivation_100023773>	<hasSynsetId>	"100023773"	
	<wordnet_attribute_100024264>	<hasSynsetId>	"100024264"	
	<wordnet_state_100024720>	<hasSynsetId>	"100024720"	
	<wordnet_feeling_100026192>	<hasSynsetId>	"100026192"	
	<wordnet_location_100027167>	<hasSynsetId>	"100027167"	
	<wordnet_shape_100027807>	<hasSynsetId>	"100027807"	
	<wordnet_time_100028270>	<hasSynsetId>	"100028270"	
	<wordnet_space_100028651>	<hasSynsetId>	"100028651"	
	<wordnet_absolute_space_100029007>	<hasSynsetId>	"100029007"	
	<wordnet_phase_space_100029114>	<hasSynsetId>	"100029114"	
	<wordnet_event_100029378>	<hasSynsetId>	"100029378"	
	<wordnet_process_100029677>	<hasSynsetId>	"100029677"	
	<wordnet_act_100030358>	<hasSynsetId>	"100030358"	
	<wordnet_group_100031264>	<hasSynsetId>	"100031264"	
	<wordnet_relation_100031921>	<hasSynsetId>	"100031921"	
	<wordnet_possession_100032613>	<hasSynsetId>	"100032613"	
	<wordnet_social_relation_100032823>	<hasSynsetId>	"100032823"	
	<wordnet_communication_100033020>	<hasSynsetId>	"100033020"	
	<wordnet_measure_100033615>	<hasSynsetId>	"100033615"	
	<wordnet_phenomenon_100034213>	<hasSynsetId>	"100034213"	
	<wordnet_thing_100034479>	<hasSynsetId>	"100034479"	
	<wordnet_kindness_100034574>	<hasSynsetId>	"100034574"	
	<wordnet_abdominoplasty_100034777>	<hasSynsetId>	"100034777"	
	<wordnet_abort_100034939>	<hasSynsetId>	"100034939"	
	<wordnet_accomplishment_100035189>	<hasSynsetId>	"100035189"	
	<wordnet_agon_100035697>	<hasSynsetId>	"100035697"	
	<wordnet_alienation_100035891>	<hasSynsetId>	"100035891"	
	<wordnet_application_100036061>	<hasSynsetId>	"100036061"	
	<wordnet_beachhead_100036299>	<hasSynsetId>	"100036299"	
	<wordnet_cakewalk_100036580>	<hasSynsetId>	"100036580"	
	<wordnet_feat_100036762>	<hasSynsetId>	"100036762"	
	<wordnet_masterpiece_100037006>	<hasSynsetId>	"100037006"	
	<wordnet_masterstroke_100037090>	<hasSynsetId>	"100037090"	
	<wordnet_credit_100037200>	<hasSynsetId>	"100037200"	
	<wordnet_action_100037396>	<hasSynsetId>	"100037396"	
	<wordnet_res_gestae_100038175>	<hasSynsetId>	"100038175"	
	<wordnet_course_100038262>	<hasSynsetId>	"100038262"	
	<wordnet_blind_alley_100038573>	<hasSynsetId>	"100038573"	
	<wordnet_collision_course_100038863>	<hasSynsetId>	"100038863"	
	<wordnet_interaction_100039021>	<hasSynsetId>	"100039021"	
	<wordnet_interplay_100039211>	<hasSynsetId>	"100039211"	
	<wordnet_contact_100039297>	<hasSynsetId>	"100039297"	
	<wordnet_brush_100039545>	<hasSynsetId>	"100039545"	
	<wordnet_eye_contact_100039740>	<hasSynsetId>	"100039740"	
	<wordnet_fetch_100039916>	<hasSynsetId>	"100039916"	
	<wordnet_placement_100039990>	<hasSynsetId>	"100039990"	
	<wordnet_interchange_100040152>	<hasSynsetId>	"100040152"	
	<wordnet_reciprocity_100040420>	<hasSynsetId>	"100040420"	
	<wordnet_cross-fertilization_100040545>	<hasSynsetId>	"100040545"	
	<wordnet_dealings_100040804>	<hasSynsetId>	"100040804"	
	<wordnet_relation_100040962>	<hasSynsetId>	"100040962"	
	<wordnet_playing_100041188>	<hasSynsetId>	"100041188"	
	<wordnet_play_100041468>	<hasSynsetId>	"100041468"	
	<wordnet_boondoggle_100041614>	<hasSynsetId>	"100041614"	
	<wordnet_bowling_100041740>	<hasSynsetId>	"100041740"	
	<wordnet_acquiring_100041899>	<hasSynsetId>	"100041899"	
	<wordnet_causing_100042311>	<hasSynsetId>	"100042311"	
	<wordnet_delivery_100042541>	<hasSynsetId>	"100042541"	
	<wordnet_departure_100042757>	<hasSynsetId>	"100042757"	
	<wordnet_derring-do_100043116>	<hasSynsetId>	"100043116"	
	<wordnet_discovery_100043195>	<hasSynsetId>	"100043195"	
	<wordnet_disposal_100043609>	<hasSynsetId>	"100043609"	
	<wordnet_hit_100043902>	<hasSynsetId>	"100043902"	
	<wordnet_implementation_100044150>	<hasSynsetId>	"100044150"	
	<wordnet_egress_100044455>	<hasSynsetId>	"100044455"	
	<wordnet_equalization_100044673>	<hasSynsetId>	"100044673"	
	<wordnet_exhumation_100044900>	<hasSynsetId>	"100044900"	
	<wordnet_mitzvah_100045114>	<hasSynsetId>	"100045114"	
